$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|125bpm(2)|AW_125_OperatorShuffle_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_OperatorShuffle_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_OperatorShuffle_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_PicoTech_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_ReakLoop_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_11|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_12|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_13|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|Free|AW_125_RetroGressive_14_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_14|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_4|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_5|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_6|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_RetroGressive_7|58|24243|82201|1||125bpm(2)
